id,name,location,state,city,ranking,cr360,nirf,branch,exams,rating,fees,type,links,gallery,unv_links,unv_gallery
26,"ABESIT Ghaziabad - ABES Institute of Technology, Ghaziabad","Ghaziabad,Uttar Pradesh",Uttar Pradesh,Ghaziabad,| Careers360  Rating: AAA,AAA,,B.Tech Computer Science and Engineering,"UPCET,",3.8/5,Not Mentioned,Private,https://careers360.com/colleges/abes-institute-of-technology-ghaziabad,https://www.careers360.com/colleges/abes-institute-of-technology-ghaziabad?gallery=true,https://careers360.com/university/abes-institute-of-technology-ghaziabad,https://www.careers360.com/university/abes-institute-of-technology-ghaziabad?gallery=true
27,"Abha Gaikwad-Patil College of Engineering, Nagpur","Nagpur,Maharashtra",Maharashtra,Nagpur,No Ranking,,,BE Civil Engineering,Not Mentioned,No Ratings,Not Mentioned,Private,https://careers360.com/colleges/abha-gaikwad-patil-college-of-engineering-nagpur,https://www.careers360.com/colleges/abha-gaikwad-patil-college-of-engineering-nagpur?gallery=true,https://careers360.com/university/abha-gaikwad-patil-college-of-engineering-nagpur,https://www.careers360.com/university/abha-gaikwad-patil-college-of-engineering-nagpur?gallery=true
29,"Abhay Memorial Trust Group of Institutions, Allahabad","Allahabad,Uttar Pradesh",Uttar Pradesh,Allahabad,No Ranking,,,Diploma in Civil Engineering,Not Mentioned,No Ratings,Not Mentioned,Private,https://careers360.com/colleges/abhay-memorial-trust-group-of-institutions-allahabad,https://www.careers360.com/colleges/abhay-memorial-trust-group-of-institutions-allahabad?gallery=true,https://careers360.com/university/abhay-memorial-trust-group-of-institutions-allahabad,https://www.careers360.com/university/abhay-memorial-trust-group-of-institutions-allahabad?gallery=true
30,"Abhaysinhraje Bhonsle Institute of Technology, Satara","Satara,Maharashtra",Maharashtra,Satara,No Ranking,,,Diploma in Mechanical Engineering,Not Mentioned,No Ratings,Not Mentioned,Private,https://careers360.com/colleges/abhaysinhraje-bhonsle-institute-of-technology-satara,https://www.careers360.com/colleges/abhaysinhraje-bhonsle-institute-of-technology-satara?gallery=true,https://careers360.com/university/abhaysinhraje-bhonsle-institute-of-technology-satara,https://www.careers360.com/university/abhaysinhraje-bhonsle-institute-of-technology-satara?gallery=true
31,"Abhedananda Mahavidyalaya, Birbhum","Sainthia,West Bengal",West Bengal,Sainthia,No Ranking,,,B.Sc Electronics,Not Mentioned,No Ratings,['₹8.10 K'],Private,https://careers360.com/colleges/abhedananda-mahavidyalaya-birbhum,https://www.careers360.com/colleges/abhedananda-mahavidyalaya-birbhum?gallery=true,https://careers360.com/university/abhedananda-mahavidyalaya-birbhum,https://www.careers360.com/university/abhedananda-mahavidyalaya-birbhum?gallery=true
32,"Abhilashi Group of Institutions School of Pharmacy and Engineering and Technology, Mandi","Shimla,Himachal Pradesh",Himachal Pradesh,Shimla,No Ranking,,,B.Tech Electrical and Electronics Engineering,Not Mentioned,No Ratings,Not Mentioned,Private,https://careers360.com/colleges/abhilashi-group-of-institutions-school-of-pharmacy-and-engineering-and-technology-mandi,https://www.careers360.com/colleges/abhilashi-group-of-institutions-school-of-pharmacy-and-engineering-and-technology-mandi?gallery=true,https://careers360.com/university/abhilashi-group-of-institutions-school-of-pharmacy-and-engineering-and-technology-mandi,https://www.careers360.com/university/abhilashi-group-of-institutions-school-of-pharmacy-and-engineering-and-technology-mandi?gallery=true
33,"Abhilashi University, Mandi","Chail-Chowk,Himachal Pradesh",Himachal Pradesh,Chail-Chowk,No Ranking,,,B.Tech Civil Engineering,Not Mentioned,4.0/5,['₹3.70 Lakhs'],Private,https://careers360.com/colleges/abhilashi-university-mandi,https://www.careers360.com/colleges/abhilashi-university-mandi?gallery=true,https://careers360.com/university/abhilashi-university-mandi,https://www.careers360.com/university/abhilashi-university-mandi?gallery=true
34,"Abhinav Education Society's College of Engineering and Technology Polytechnic, Satara","Satara,Maharashtra",Maharashtra,Satara,No Ranking,,,Diploma in Mechanical Engineering,Not Mentioned,No Ratings,Not Mentioned,Private,https://careers360.com/colleges/abhinav-education-society's-college-of-engineering-and-technology-polytechnic-satara,https://www.careers360.com/colleges/abhinav-education-society's-college-of-engineering-and-technology-polytechnic-satara?gallery=true,https://careers360.com/university/abhinav-education-society's-college-of-engineering-and-technology-polytechnic-satara,https://www.careers360.com/university/abhinav-education-society's-college-of-engineering-and-technology-polytechnic-satara?gallery=true
35,"Abhinav Education Society's College of Engineering and Technology, Wadwadi","Satara,Maharashtra",Maharashtra,Satara,No Ranking,,,B.Tech Artificial Intelligence and Data Science,Not Mentioned,4.0/5,Not Mentioned,Private,https://careers360.com/colleges/abhinav-education-society's-college-of-engineering-and-technology-wadwadi,https://www.careers360.com/colleges/abhinav-education-society's-college-of-engineering-and-technology-wadwadi?gallery=true,https://careers360.com/university/abhinav-education-society's-college-of-engineering-and-technology-wadwadi,https://www.careers360.com/university/abhinav-education-society's-college-of-engineering-and-technology-wadwadi?gallery=true
36,"Abhinav Hi-Tech College of Engineering, Hyderabad","Hyderabad,Telangana",Telangana,Hyderabad,No Ranking,,,B.Tech Civil Engineering,Not Mentioned,3.5/5,Not Mentioned,Private,https://careers360.com/colleges/abhinav-hi-tech-college-of-engineering-hyderabad,https://www.careers360.com/colleges/abhinav-hi-tech-college-of-engineering-hyderabad?gallery=true,https://careers360.com/university/abhinav-hi-tech-college-of-engineering-hyderabad,https://www.careers360.com/university/abhinav-hi-tech-college-of-engineering-hyderabad?gallery=true
