id,name,location,state,city,ranking,cr360,nirf,branch,exams,rating,fees,type,links,gallery,unv_links,unv_gallery
2610,"Government Polytechnic, Bhojpur","Bhojpur,Bihar",Bihar,Bhojpur,No Ranking,,,Diploma in Civil Engineering,"DCECE,",No Ratings,Not Mentioned,Public/Govt,https://careers360.com/colleges/government-polytechnic-bhojpur,https://www.careers360.com/colleges/government-polytechnic-bhojpur?gallery=true,https://careers360.com/university/government-polytechnic-bhojpur,https://www.careers360.com/university/government-polytechnic-bhojpur?gallery=true
2611,"Government Polytechnic, Bhubaneswar","Bhubaneswar,Odisha",Odisha,Bhubaneswar,No Ranking,,,Diploma in Civil Engineering,Not Mentioned,No Ratings,['₹17.40 K'],Public/Govt,https://careers360.com/colleges/government-polytechnic-bhubaneswar,https://www.careers360.com/colleges/government-polytechnic-bhubaneswar?gallery=true,https://careers360.com/university/government-polytechnic-bhubaneswar,https://www.careers360.com/university/government-polytechnic-bhubaneswar?gallery=true
2612,"Government Polytechnic, Bhuj","Bhuj,Gujarat",Gujarat,Bhuj,No Ranking,,,Diploma in Civil Engineering,Not Mentioned,No Ratings,Not Mentioned,Public/Govt,https://careers360.com/colleges/government-polytechnic-bhuj,https://www.careers360.com/colleges/government-polytechnic-bhuj?gallery=true,https://careers360.com/university/government-polytechnic-bhuj,https://www.careers360.com/university/government-polytechnic-bhuj?gallery=true
2613,"Government Polytechnic, Bicholim","Bicholim,Goa",Goa,Bicholim,No Ranking,,,Diploma in Electrical Engineering,Not Mentioned,No Ratings,Not Mentioned,Public/Govt,https://careers360.com/colleges/government-polytechnic-bicholim,https://www.careers360.com/colleges/government-polytechnic-bicholim?gallery=true,https://careers360.com/university/government-polytechnic-bicholim,https://www.careers360.com/university/government-polytechnic-bicholim?gallery=true
2614,"Government Polytechnic, Bidar","Bidar,Karnataka",Karnataka,Bidar,No Ranking,,,Diploma in Electrical and Electronics Engineering,Not Mentioned,No Ratings,Not Mentioned,Public/Govt,https://careers360.com/colleges/government-polytechnic-bidar,https://www.careers360.com/colleges/government-polytechnic-bidar?gallery=true,https://careers360.com/university/government-polytechnic-bidar,https://www.careers360.com/university/government-polytechnic-bidar?gallery=true
2615,"Government Polytechnic, Bighapur","Unnao,Uttar Pradesh",Uttar Pradesh,Unnao,No Ranking,,,Diploma in Leather Technology,"JEECUP,",No Ratings,['₹31.59 K'],Public/Govt,https://careers360.com/colleges/government-polytechnic-bighapur,https://www.careers360.com/colleges/government-polytechnic-bighapur?gallery=true,https://careers360.com/university/government-polytechnic-bighapur,https://www.careers360.com/university/government-polytechnic-bighapur?gallery=true
2616,"Government Polytechnic, Bijapur","Bijapur,Chhattisgarh",Chhattisgarh,Bijapur,No Ranking,,,Diploma in Civil Engineering,Not Mentioned,No Ratings,Not Mentioned,Public/Govt,https://careers360.com/colleges/government-polytechnic-bijapur,https://www.careers360.com/colleges/government-polytechnic-bijapur?gallery=true,https://careers360.com/university/government-polytechnic-bijapur,https://www.careers360.com/university/government-polytechnic-bijapur?gallery=true
2617,"Government Polytechnic, Bijnor","Bijnor,Uttar Pradesh",Uttar Pradesh,Bijnor,No Ranking,,,Diploma in Civil Engineering,"JEECUP,",No Ratings,['₹33.03 K'],Public/Govt,https://careers360.com/colleges/government-polytechnic-bijnor,https://www.careers360.com/colleges/government-polytechnic-bijnor?gallery=true,https://careers360.com/university/government-polytechnic-bijnor,https://www.careers360.com/university/government-polytechnic-bijnor?gallery=true
2618,"Government Polytechnic, Bilaspur","Bilaspur,Chhattisgarh",Chhattisgarh,Bilaspur,No Ranking,,,Diploma in Civil Engineering,Not Mentioned,No Ratings,['₹16.95 K'],Public/Govt,https://careers360.com/colleges/government-polytechnic-bilaspur,https://www.careers360.com/colleges/government-polytechnic-bilaspur?gallery=true,https://careers360.com/university/government-polytechnic-bilaspur,https://www.careers360.com/university/government-polytechnic-bilaspur?gallery=true
2619,"Government Polytechnic, Bindki","Bindki,Uttar Pradesh",Uttar Pradesh,Bindki,No Ranking,,,Diploma in Automobile Engineering,Not Mentioned,No Ratings,Not Mentioned,Public/Govt,https://careers360.com/colleges/government-polytechnic-bindki,https://www.careers360.com/colleges/government-polytechnic-bindki?gallery=true,https://careers360.com/university/government-polytechnic-bindki,https://www.careers360.com/university/government-polytechnic-bindki?gallery=true
2620,"Government Polytechnic, Boudh","Nuapali,Odisha",Odisha,Nuapali,No Ranking,,,Diploma in Civil Engineering,Not Mentioned,No Ratings,['₹17.40 K'],Public/Govt,https://careers360.com/colleges/government-polytechnic-boudh,https://www.careers360.com/colleges/government-polytechnic-boudh?gallery=true,https://careers360.com/university/government-polytechnic-boudh,https://www.careers360.com/university/government-polytechnic-boudh?gallery=true
2621,"Government Polytechnic, Bramhapuri","Brahmapuri,Maharashtra",Maharashtra,Brahmapuri,No Ranking,,,Diploma in Civil Engineering,Not Mentioned,No Ratings,['₹22.65 K'],Public/Govt,https://careers360.com/colleges/government-polytechnic-bramhapuri,https://www.careers360.com/colleges/government-polytechnic-bramhapuri?gallery=true,https://careers360.com/university/government-polytechnic-bramhapuri,https://www.careers360.com/university/government-polytechnic-bramhapuri?gallery=true
2622,"Government Polytechnic, Buxar","Buxar,Bihar",Bihar,Buxar,No Ranking,,,Diploma in Civil Engineering,Not Mentioned,3.3/5,Not Mentioned,Public/Govt,https://careers360.com/colleges/government-polytechnic-buxar,https://www.careers360.com/colleges/government-polytechnic-buxar?gallery=true,https://careers360.com/university/government-polytechnic-buxar,https://www.careers360.com/university/government-polytechnic-buxar?gallery=true
2623,"Government Polytechnic, Chamarajanagar","Chamarajanagar,Karnataka",Karnataka,Chamarajanagar,No Ranking,,,Diploma in Civil Engineering,Not Mentioned,No Ratings,['₹12.81 K'],Public/Govt,https://careers360.com/colleges/government-polytechnic-chamarajanagar,https://www.careers360.com/colleges/government-polytechnic-chamarajanagar?gallery=true,https://careers360.com/university/government-polytechnic-chamarajanagar,https://www.careers360.com/university/government-polytechnic-chamarajanagar?gallery=true
2624,"Government Polytechnic, Chamoli","Chamoli Gopeshwar,Uttarakhand",Uttarakhand,Chamoli Gopeshwar,No Ranking,,,Diploma in Civil Engineering with Environmental and Pollution Control,"Uttarakhand JEEP,",No Ratings,Not Mentioned,Public/Govt,https://careers360.com/colleges/government-polytechnic-chamoli,https://www.careers360.com/colleges/government-polytechnic-chamoli?gallery=true,https://careers360.com/university/government-polytechnic-chamoli,https://www.careers360.com/university/government-polytechnic-chamoli?gallery=true
